date,attendance,tickets_revenue,ppv_buys,tv_ratings_avg
2020-03-14,,,,672000.0
2020-03-07,15077.0,2742906.0,,1190000.0
2020-02-29,7098.0,402958.0,,
2020-02-22,10025.0,1239625.0,,
2020-02-15,6449.0,596820.0,,
2020-02-08,17401.0,3549418.0,,1490000.0
2020-01-25,14533.0,1303320.0,,
2020-01-18,19040.0,11089129.0,1000000.0,1770000.0
2019-12-21,10651.0,,,
2019-12-14,16811.0,4041119.0,,865000.0
2019-12-07,10816.0,932593.0,,
2019-11-16,10344.0,,,
2019-11-09,11305.0,,,
2019-11-02,20143.0,6575996.0,,910000.0
2019-10-26,7155.0,,,
2019-10-18,12066.0,1124765.0,,805000.0
2019-10-12,10597.0,897805.0,,
2019-10-05,57127.0,5478345.0,,559000.0
2019-09-28,12767.0,1600000.0,,
2019-09-21,10112.0,,,
2019-09-14,15114.0,1334931.0,,
2019-09-07,,,,222000.0
2019-08-17,17304.0,3237032.0,,817000.0
2019-08-10,9225.0,,,
2019-08-03,10427.0,687778.0,,680000.0
2019-07-27,12144.0,1450000.0,,722000.0
2019-07-20,9255.0,841820.0,,548000.0
2019-07-13,10306.0,938734.0,,
2019-07-06,18358.0,6063707.0,,1150000.0
2019-06-29,10123.0,952204.0,,1090000.0
2019-06-22,7682.0,567930.0,,413000.0
2019-06-08,16083.0,2034387.0,,946000.0
2019-06-01,,,,257000.0
2019-05-18,8131.0,643840.0,,
2019-05-11,15193.0,,,813000.0
2019-05-04,10960.0,808448.0,,
2019-04-27,12754.0,1210000.0,,720000.0
2019-04-20,7236.0,,,232000.0
2019-04-13,14297.0,1908721.0,100000.0,893000.0
2019-03-30,11123.0,1102542.0,,828000.0
2019-03-23,10863.0,939096.0,,
2019-03-16,16602.0,2400000.0,,
2019-03-09,7265.0,636417.0,,
2019-03-02,14790.0,4035156.0,650000.0,1480000.0
2019-02-23,16583.0,1606176.0,,271000.0
2019-02-17,14269.0,1409447.0,,1460000.0
2019-02-09,15238.0,2470088.0,175000.0,1340000.0
2019-02-02,10040.0,,,
2019-01-19,12152.0,1320000.0,,1960000.0
2018-12-29,15862.0,2066604.0,700000.0,1150000.0
2018-12-15,7797.0,616633.0,,1830000.0
2018-12-08,19039.0,2481552.0,300000.0,786000.0
2018-12-01,8652.0,1400000.0,,702000.0
2018-11-30,2020.0,204600.0,,399000.0
2018-11-17,10245.0,,,632000.0
2018-11-10,11426.0,946706.0,,840000.0
2018-11-03,17011.0,2841718.0,250000.0,635000.0
2018-10-27,6282.0,526741.0,,531000.0
2018-10-06,20034.0,17200000.0,2400000.0,1300000.0
2018-09-22,9485.0,,,607000.0
2018-09-15,22603.0,1840000.0,,
2018-09-08,14073.0,1714556.0,130000.0,560000.0
2018-08-25,6409.0,478337.0,,596000.0
2018-08-04,17794.0,2848928.0,300000.0,717000.0
2018-07-28,10603.0,1300000.0,,1680000.0
2018-07-22,7798.0,750000.0,,492000.0
2018-07-14,,,,754000.0
2018-07-07,17464.0,5677000.0,380000.0,668000.0
2018-07-06,2123.0,293615.0,,499000.0
2018-06-23,6419.0,,,
2018-06-09,18117.0,2550000.0,250000.0,667000.0
2018-06-01,5063.0,322825.0,,517000.0
2018-05-27,8520.0,1300000.0,,552000.0
2018-05-19,11082.0,,,870000.0
2018-05-12,10696.0,,85000.0,574000.0
2018-04-21,9541.0,923720.0,,956000.0
2018-04-14,11382.0,1085712.0,,2020000.0
2018-04-07,17026.0,3007108.0,350000.0,892000.0
2018-03-17,16274.0,2028000.0,,
2018-03-03,12041.0,1367672.0,260000.0,905000.0
2018-02-24,10124.0,1064303.0,,2029999.9999999998
2018-02-18,10502.0,794350.0,,893000.0
2018-02-10,12437.0,2810000.0,130000.0,691000.0
2018-02-03,10144.0,,,839000.0
2018-01-27,,,,1770000.0
2018-01-20,16015.0,2450000.0,380000.0,905000.0
2018-01-14,10052.0,812995.0,,1280000.0
2017-12-30,13561.0,1760628.0,380000.0,914000.0
2017-12-16,8862.0,781359.0,,2100000.0
2017-12-09,7605.0,568290.0,,870000.0
2017-12-02,17587.0,2000000.0,230000.0,694000.0
2017-12-01,,,,501000.0
2017-11-25,15128.0,,,
2017-11-18,,,,815000.0
2017-11-11,8442.0,642070.0,,837000.0
2017-11-04,18000.0,6105306.0,875000.0,1280000.0
2017-10-28,10265.0,,,588000.0
2017-10-21,11138.0,677000.0,,
2017-10-07,10638.0,677999.0,200000.0,65300.0
2017-09-22,8571.0,,,502000.0
2017-09-16,7005.0,396190.0,,872000.0
2017-09-09,16232.0,2028307.0,100000.0,418000.0
2017-08-05,10172.0,,,859000.0
2017-07-29,16610.0,2448870.0,860000.0,886000.0
2017-07-22,11198.0,1088332.0,,2040000.0
2017-07-16,10589.0,1200000.0,,402000.0
2017-07-08,12834.0,2400000.0,130000.0,657000.0
2017-07-07,6308.0,432495.0,,724000.0
2017-06-25,7605.0,549302.0,,819000.0
2017-06-17,8414.0,839300.0,,
2017-06-10,8649.0,829734.0,,923000.0
2017-06-03,15412.0,,200000.0,732000.0
2017-05-28,12668.0,1920000.0,,496000.0
2017-05-13,17834.0,2662645.0,300000.0,1140000.0
2017-04-22,10144.0,755180.0,,745000.0
2017-04-15,12171.0,1081193.0,,1990000.0
2017-04-08,17110.0,2000000.0,300000.0,723000.0
2017-03-18,15761.0,2015777.0,,
2017-03-11,14069.0,,,946000.0
2017-03-04,13150.0,2385230.0,300000.0,1030000.0
2017-02-19,8123.0,575832.0,,907000.0
2017-02-11,15628.0,2275105.0,200000.0,874000.0
2017-02-04,8119.0,611133.0,,1150000.0
2017-01-28,13233.0,1020434.0,,2180000.0
2017-01-15,11589.0,913372.0,,1090000.0
2016-12-30,18533.0,4750000.0,1100000.0,1510000.0
2016-12-17,13136.0,1238992.0,,3180000.0
2016-12-10,18057.0,1843101.0,150000.0,771000.0
2016-12-09,6216.0,411000.0,,
2016-12-03,2044.0,188602.0,,1030000.0
2016-11-26,13721.0,2200000.0,,686000.0
2016-11-19,9028.0,,,769000.0
2016-11-19,7222.0,850000.0,,
2016-11-12,20427.0,17700000.0,1300000.0,1800000.0
2016-11-05,11460.0,,,860000.0
2016-10-08,16000.0,1960000.0,290000.0,678000.0
2016-10-01,6240.0,501035.0,,657000.0
2016-09-24,8410.0,,,1110000.0
