rank,name,networth
1,Conor McGregor,120000000.0
2,Rorion Gracie,50000000.0
3,Georges St Pierre,30000000.0
4,Khabib Nurmagomedov,30000000.0
5,Brock Lesnar,28000000.0
6,BJ Penn,22000000.0
7,Tito Ortiz,20000000.0
8,Anderson Silva,18000000.0
9,Fedor Emelianenko,18000000.0
10,Wanderlei Silva,18000000.0
11,Randy Couture,17000000.0
12,Chuck Liddell,14000000.0
13,Quinton Rampage Jackson,12000000.0
14,Ronda Rousey,12000000.0
15,Frank Mir,11000000.0
16,Alistair Overeem,10000000.0
17,Bruce Buffer,10000000.0
18,Chael Sonnen,10000000.0
19,Junior dos Santos,10000000.0
20,Yoel Romero,10000000.0
21,Donald Cerrone,9000000.0
22,José Aldo,9000000.0
23,Michael Bisping,9000000.0
24,Rashad Evans,8500000.0
25,Dan Henderson,8000000.0
26,Eddie Alvarez,8000000.0
27,Gina Carano,8000000.0
28,Matt Hughes,8000000.0
29,Nate Diaz,8000000.0
30,Urijah Faber,8000000.0
31,Forrest Griffin,7000000.0
32,Mauricio Rua,6500000.0
33,Andrei Arlovski,6000000.0
34,Daniel Cormier,6000000.0
35,Demetrious Johnson,6000000.0
36,Miesha Tate,6000000.0
37,  Ryron Gracie,6000000.0
38,Mirko Cro Cop,5500000.0
39,Vitor Belfort,5500000.0
40,Rener Gracie,5000000.0
41,Royce Gracie,5000000.0
42,Ryan Bader,5000000.0
43,Thiago Silva,5000000.0
44,Anthony Johnson,4000000.0
45,Cain Velasquez,4000000.0
46,Lyoto Machida,4000000.0
47,Paul Daley,4000000.0
48,Robbie Lawler,4000000.0
49,Stipe Miocic,4000000.0
50,Tyron Woodley,4000000.0
